view,r4a_reco,market_bin,above_ma200,sent7_gt_0_2,prev_rule_ok,n_closed,pct_win,pct_loss,mean_delta,total_delta
weekly,YES,<0,>0,YES,YES,0.0,0.0,100.0,0.0,0.0
weekly,YES,<0,>0,YES,NO,0.0,0.0,100.0,0.0,0.0
weekly,YES,<0,>0,NO,YES,0.0,0.0,100.0,0.0,0.0
weekly,YES,<0,>0,NO,NO,0.0,0.0,100.0,0.0,0.0
weekly,YES,<0,<0,YES,YES,0.0,0.0,100.0,0.0,0.0
weekly,YES,<0,<0,YES,NO,0.0,0.0,100.0,0.0,0.0
weekly,YES,<0,<0,NO,YES,0.0,0.0,100.0,0.0,0.0
weekly,YES,<0,<0,NO,NO,0.0,0.0,100.0,0.0,0.0
weekly,YES,0-2,>0,YES,YES,0.0,0.0,100.0,0.0,0.0
weekly,YES,0-2,>0,YES,NO,0.0,0.0,100.0,0.0,0.0
weekly,YES,0-2,>0,NO,YES,0.0,0.0,100.0,0.0,0.0
weekly,YES,0-2,>0,NO,NO,84.0,64.3,35.7,2.2,181.8
weekly,YES,0-2,<0,YES,YES,0.0,0.0,100.0,0.0,0.0
weekly,YES,0-2,<0,YES,NO,0.0,0.0,100.0,0.0,0.0
weekly,YES,0-2,<0,NO,YES,0.0,0.0,100.0,0.0,0.0
weekly,YES,0-2,<0,NO,NO,29.0,51.7,48.3,-0.6,-16.2
weekly,YES,>2,>0,YES,YES,0.0,0.0,100.0,0.0,0.0
weekly,YES,>2,>0,YES,NO,0.0,0.0,100.0,0.0,0.0
weekly,YES,>2,>0,NO,YES,0.0,0.0,100.0,0.0,0.0
weekly,YES,>2,>0,NO,NO,18.0,61.1,38.9,7.1,128.2
weekly,YES,>2,<0,YES,YES,0.0,0.0,100.0,0.0,0.0
weekly,YES,>2,<0,YES,NO,0.0,0.0,100.0,0.0,0.0
weekly,YES,>2,<0,NO,YES,0.0,0.0,100.0,0.0,0.0
weekly,YES,>2,<0,NO,NO,1.0,100.0,0.0,4.5,4.5
weekly,NO,<0,>0,YES,YES,0.0,0.0,100.0,0.0,0.0
weekly,NO,<0,>0,YES,NO,0.0,0.0,100.0,0.0,0.0
weekly,NO,<0,>0,NO,YES,0.0,0.0,100.0,0.0,0.0
weekly,NO,<0,>0,NO,NO,0.0,0.0,100.0,0.0,0.0
weekly,NO,<0,<0,YES,YES,0.0,0.0,100.0,0.0,0.0
weekly,NO,<0,<0,YES,NO,0.0,0.0,100.0,0.0,0.0
weekly,NO,<0,<0,NO,YES,0.0,0.0,100.0,0.0,0.0
weekly,NO,<0,<0,NO,NO,0.0,0.0,100.0,0.0,0.0
weekly,NO,0-2,>0,YES,YES,0.0,0.0,100.0,0.0,0.0
weekly,NO,0-2,>0,YES,NO,0.0,0.0,100.0,0.0,0.0
weekly,NO,0-2,>0,NO,YES,0.0,0.0,100.0,0.0,0.0
weekly,NO,0-2,>0,NO,NO,123.0,50.4,49.6,-2.0,-249.5
