symbol,f10_over_c1_x,f10_over_prev_a1_x,f10_T,a1_prev,sentiment_7d,sentiment7d_gt_0_2,pct_above_sma200,bb_percent_b,f10_over_ma20_x,f1_over_prev_a1_x,rule2_ok,spy_trend_value,spy_trend_bin,persist_2of3_ok,rule_4a
DDI,1.0290879366479406,1.0335757218782886,9.178152410279203,8.88,0.34,True,-0.054610106516057244,0.5946585709200708,1.0422612321461733,1.003279388100661,True,-0.0008700948403376207,<0,False,False
CRNT,1.0273761418927936,1.0315917180530443,2.4139246202441234,2.34,0.45,True,0.045226130653266194,0.8631302479149644,1.093882234165231,1.0030856076494241,True,-0.0008700948403376207,<0,True,True
MDB,1.0279784403665002,1.0284248962295306,416.1418500103173,404.64,,,0.43951960515667765,0.38072860780191564,1.0067237594370977,1.027362060935045,False,-0.0008700948403376207,<0,False,False
CWAN,1.0275785192508649,1.0280184195812427,24.970567411628387,24.29,0.29,True,0.14501207942961503,0.9159066721139273,1.0337639168548287,1.026970782855107,False,-0.0008700948403376207,<0,False,False
PG,1.0263461001739753,1.0267658303503597,153.94300094442946,149.93,0.15,False,-0.02162168635150019,1.0961583035204954,1.071261814821798,1.0257650291881368,False,-0.0008700948403376207,<0,False,False
BIIB,1.0252976930280269,1.0257003023715865,178.26671255218173,173.8,0.14,False,0.20741357492720258,0.39511257524645105,1.009703645366315,1.0247393423660014,False,-0.0008700948403376207,<0,False,False
PFE,1.0251752395088183,1.025575851408063,26.76752972175045,26.1,0.13,False,0.08792220121154726,1.0614029447358615,1.0563975658286975,1.0246195447484534,False,-0.0008700948403376207,<0,True,True
PRU,1.024989768611621,1.0253873560370264,111.53138271614735,108.77,0.06,False,0.043755855080918726,0.030116154481066037,0.973261451943116,1.0244380974078322,False,-0.0008700948403376207,<0,False,False
DHR,1.0245574534999664,1.0249479953762284,246.06951472992492,240.08,0.23,True,0.16406244078326448,0.8372692094499748,1.047474592510694,1.0240151648814955,False,-0.0008700948403376207,<0,True,True
KOP,1.0208248999954328,1.024008094408936,30.157038380343167,29.45,0.04,False,0.01441518871759917,0.8743234008217733,1.0782693928898444,1.002344904434508,False,-0.0008700948403376207,<0,True,True
SNPS,1.0232660327953715,1.0236355631759748,521.5116103712639,509.47,0.2,False,0.029487095291258925,0.6128064445749649,1.041800147369516,1.0227518058336216,False,-0.0008700948403376207,<0,True,True
TXO,1.0204167467423901,1.023536114381333,11.391956953064238,11.13,-0.19,False,-0.1739722083638353,0.9588790330608064,1.0664130075417027,1.0022988054796775,False,-0.0008700948403376207,<0,True,True
AHL,1.0231464427487609,1.0235140300536087,38.13613275979746,37.26,0.39,True,,,,1.0226348169562323,False,-0.0008700948403376207,<0,False,False
PEP,1.0228771014756468,1.0232403142284028,147.75590137458136,144.4,0.11,False,0.03620550448103321,0.6098605800601398,1.0321861659366416,1.0223713356394422,False,-0.0008700948403376207,<0,True,True
KELYA,1.018736014614731,1.0215931580397533,10.59392104887224,10.37,,,-0.09543026987125747,0.893890768622979,1.1398666934443984,1.0021090341940508,False,-0.0008700948403376207,<0,True,True
UIS,1.0181931538061801,1.0209658101199506,3.0322684560562534,2.97,0.35,True,-0.2223909514583442,0.4808104408693331,1.015155157702127,1.0020477602381064,False,-0.0008700948403376207,<0,False,False
ASIX,1.0169698616641962,1.0195525068710038,17.434347867494168,17.1,-0.09,False,-0.13901977205330573,0.34714506255282823,0.9973597933408179,1.0019097209168961,False,-0.0008700948403376207,<0,False,False
CRNX,1.0143222004184103,1.0164953618960566,55.85642013618831,54.95,0.35,True,0.4777901188417568,0.7240846917030908,1.083286531480321,1.0016111252563418,False,-0.0008700948403376207,<0,True,True
STZ,1.0159882243494576,1.0162403279838432,163.33014551356328,160.72,0.17,False,0.03007383576271927,0.8562072097604949,1.10247214300173,1.0156330858804463,False,-0.0008700948403376207,<0,True,True
DAVA,1.0140180020658107,1.0161442717283518,6.950426818621926,6.84,,,-0.41804321284388846,0.748638217584422,1.0495963181247245,1.0015768337845932,False,-0.0008700948403376207,<0,True,True
NX,1.0122106437547242,1.0140589699634397,19.46993222329804,19.2,-0.04,False,0.14800845308189148,0.9169666061507117,1.1570649684018566,1.00137315942075,False,-0.0008700948403376207,<0,True,True
BHVN,1.0119465086476715,1.0137543094092636,13.949259297471468,13.76,0.23,True,-0.05349213937603392,1.0598876676017834,1.2108206499259118,1.0013434027948247,False,-0.0008700948403376207,<0,True,True
SMCI,1.0117083194880632,1.0134795962467786,32.88741289820797,32.45,0.1,False,-0.22508480485629434,0.9568327390735074,1.0822856122094306,1.0013165711728742,False,-0.0008700948403376207,<0,True,True
WMT,1.01307227292091,1.0132777967016262,119.39452278535262,117.83,0.22,True,0.15667744242981207,0.6960056008625934,1.0366762563794776,1.0127813266053578,False,-0.0008700948403376207,<0,True,True
MATV,1.0107613605853492,1.0123876238838698,13.161039110490309,13.0,0.16,False,0.38278113880453324,0.743421022867323,1.047144775469651,1.0012099166924089,False,-0.0008700948403376207,<0,False,False
UTZ,1.0103704405722178,1.011936930123789,10.635457135601023,10.51,-0.22,False,-0.12858011337533903,0.7889555642606905,1.039177012614297,1.001165896797343,False,-0.0008700948403376207,<0,True,True
TNC,1.0103494154422852,1.0119126916326473,80.17384255805464,79.23,0.43,True,0.02965157313176303,0.7987568627832368,1.044059389612708,1.0011635293897347,False,-0.0008700948403376207,<0,True,True
XPO,1.0111201924336455,1.0112946832097647,151.2896846081808,149.6,0.15,False,0.16717704655834886,0.7368745642968094,1.0441836771035613,1.0108723637100405,False,-0.0008700948403376207,<0,True,True
CAL,1.0091937443803634,1.0105806287181698,12.773739146997666,12.64,0.08,False,-0.07734187849496688,0.24286105047673692,0.9641155760598584,1.0010334249265482,False,-0.0008700948403376207,<0,False,False
TEAD,1.0083534354872123,1.0096123511233661,0.768718844145331,0.7614,,,-0.6050991686543965,0.6739034487487987,1.0890991373919088,1.0009388518885047,False,-0.0008700948403376207,<0,False,False
W,1.009462842078853,1.009611079601349,111.20866041808861,110.15,0.18,False,0.5077010467674767,0.5492936910027115,1.0206936910814528,1.0092517117241213,False,-0.0008700948403376207,<0,False,False
CON,1.0082192339683134,1.009457734887341,21.93551657910192,21.73,0.38,True,0.046544542582601656,0.8976956460843416,1.0760880364542629,1.0009237503027093,False,-0.0008700948403376207,<0,True,True
GOOGL,1.0083963187878737,1.0085277078465853,333.3587485516103,330.54,0.28,True,0.4449484340766743,0.7399424902406679,1.0333901609690714,1.0082088483226233,False,-0.0008700948403376207,<0,False,False
KNF,1.0073575918147208,1.0084651675748502,76.59292947730988,75.95,0.74,True,-0.05615123452187443,0.48254735141035066,1.0053214697596047,1.0008268048536886,False,-0.0008700948403376207,<0,False,False
